CD_CID;DS_CID;CD_SUBGRUPO;DS_SUBGRUPO;CD_GRUPO;DS_GRUPO;CD_CAPITULO;DS_CAPITULO
D303;BEXIGA;D30;NEOPL BENIG DOS ORGAOS URINARIOS;D10-D36;NEOPLASIAS [TUMORES] BENIGNAS(OS);2;NEOPLASIAS [TUMORES]
J178;PNEUMONIA EM OUTR DOENC COP;J17;PNEUMONIA EM DOENC COP;J10-J18;INFLUENZA [GRIPE] E PNEUMONIA;10;DOENÇAS DO APARELHO RESPIRATÓRIO
T924;SEQUELAS DE TRAUM DE NERVO DE MEMBRO SUPER;T92;SEQUELAS DE TRAUM DO MEMBRO SUPER;T90-T98;SEQÜELAS DE TRAUMATISMOS, DE INTOXICAÇÕES E DE OUTRAS CONSEQÜÊNCIAS DAS CAUSAS EXTERNAS;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
N019;NE;N01;SINDR NEFRITICA RAPIDAMENTE PROGRESSIVA;N00-N08;DOENÇAS GLOMERULARES;14;DOENÇAS DO APARELHO GENITURINÁRIO
N170;INSUF RENAL AGUDA C/NECROSE TUBULAR;N17;INSUF RENAL AGUDA;N17-N19;INSUFICIÊNCIA RENAL;14;DOENÇAS DO APARELHO GENITURINÁRIO
M358;OUTR COMPR SISTEMICO ESPEC DO TEC CONJUNTIVO;M35;OUTR AFECCOES SISTEMICAS DO TEC CONJUNTIVO;M30-M36;DOENÇAS SISTÊMICAS DO TECIDO CONJUNTIVO;13;DOENÇAS DO SISTEMA OSTEOMUSCULAR E DO TECIDO CONJUNTIVO
F62;MODIF DURAD PERS N ATRIB LESAO DOENC CEREBR;F62;MODIF DURAD PERS N ATRIB LESAO DOENC CEREBR;F60-F69;TRANSTORNOS DA PERSONALIDADE E DO COMPORTAMENTO DO ADULTO;5;TRANSTORNOS MENTAIS E COMPORTAMENTAIS
G501;DOR FACIAL ATIPICA;G50;TRANST DO NERVO TRIGEMEO;G50-G59;TRANSTORNOS DOS NERVOS, DAS RAÍZES E DOS PLEXOS NERVOSOS;6;DOENÇAS DO SISTEMA NERVOSO
K409;HERNIA INGUINAL UNILAT NE S/OBSTR GANGRENA;K40;HERNIA INGUINAL;K40-K46;HÉRNIAS;11;DOENÇAS DO APARELHO DIGESTIVO
X644;RUA E ESTRADA;X64;AUTO-INT INTENC OUT DROG MED SUBST BIOLOG NE;X60-X84;LESÕES AUTOPROVOCADAS INTENCIONALMENTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
I518;OUTR DOENC MAL DEFINIDAS DO CORACAO;I51;COMPLIC CARDIOPATIAS DOENC CARDIACAS MAL DEF;I30-I52;OUTRAS FORMAS DE DOENÇA DO CORAÇÃO;9;DOENÇAS DO APARELHO CIRCULATÓRIO
O745;CEFAL POS-ANEST RAQUID PERID TRAB PARTO PART;O74;COMPLIC ANESTESIA DURANTE TRAB PARTO E PARTO;O60-O75;COMPLICAÇÕES DO TRABALHO DE PARTO E DO PARTO;15;GRAVIDEZ, PARTO E PUERPÉRIO
I860;VARIZES SUBLINGUAIS;I86;VARIZES DE OUTR LOCALIZ;I80-I89;DOENÇAS DAS VEIAS, DOS VASOS LINFÁTICOS E DOS GÂNGLIOS LINFÁTICOS, NÃO CLASSIFICADAS EM OUTRA PARTE;9;DOENÇAS DO APARELHO CIRCULATÓRIO
C538;LESAO INVASIVA DO COLO DO UTERO;C53;NEOPL MALIG DO COLO DO UTERO;C51-C58;NEOPLASIAS [TUMORES] MALIGNAS(OS) DOS ÓRGÃOS GENITAIS FEMININOS;2;NEOPLASIAS [TUMORES]
Q356;FENDA MEDIANA DO PALATO;Q35;FENDA PALATINA;Q35-Q37;FENDA LABIAL E FENDA PALATINA;17;MALFORMAÇÕES CONGÊNITAS, DEFORMIDADES E ANOMALIAS CROMOSSÔMICAS
F503;BULIMIA NERVOSA ATIPICA;F50;TRANST DA ALIMENTACAO;F50-F59;SÍNDROMES COMPORTAMENTAIS ASSOCIADAS A DISFUNÇÕES FISIOLÓGICAS E A FATORES FÍSICOS;5;TRANSTORNOS MENTAIS E COMPORTAMENTAIS
M816;OSTEOPOROSE LOCALIZADA;M81;OSTEOPOROSE S/FRAT PATOLOGICA;M80-M85;TRANSTORNOS DA DENSIDADE E DA ESTRUTURA ÓSSEA;13;DOENÇAS DO SISTEMA OSTEOMUSCULAR E DO TECIDO CONJUNTIVO
S923;FRAT DE OSSOS DO METATARSO;S92;FRAT DO PE;S90-S99;TRAUMATISMOS DO TORNOZELO E DO PÉ;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
Q777;DISPLASIA ESPONDILOEPIFISARIA;Q77;OSTEOCONDR C/ANOM CRESC OSSOS LONG COL VERT;Q65-Q79;MALFORMAÇÕES E DEFORMIDADES CONGÊNITAS DO SISTEMA OSTEOMUSCULAR;17;MALFORMAÇÕES CONGÊNITAS, DEFORMIDADES E ANOMALIAS CROMOSSÔMICAS
Q24;OUTR MALFORMACOES CONGEN DO CORACAO;Q24;OUTR MALFORMACOES CONGEN DO CORACAO;Q20-Q28;MALFORMAÇÕES CONGÊNITAS DO APARELHO CIRCULATÓRIO;17;MALFORMAÇÕES CONGÊNITAS, DEFORMIDADES E ANOMALIAS CROMOSSÔMICAS
V63;OCUP VEIC TR PESADO TRAUM COL AUTO CAMINHON;V63;OCUP VEIC TR PESADO TRAUM COL AUTO CAMINHON;V60-V69;OCUPANTE DE UM VEÍCULO DE TRANSPORTE PESADO TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
M760;TENDINITE GLUTEA;M76;ENTESOPATIAS DOS MEMBROS INFER EXCL PE;M70-M79;OUTROS TRANSTORNOS DOS TECIDOS MOLES;13;DOENÇAS DO SISTEMA OSTEOMUSCULAR E DO TECIDO CONJUNTIVO
N064;GLOMERULONEFRITE PROLIFER ENDOCAPILAR DIFUSA;N06;PROTEINURIA ISOLADA C/LESAO MORFOLOG ESPEC;N00-N08;DOENÇAS GLOMERULARES;14;DOENÇAS DO APARELHO GENITURINÁRIO
V689;OCUPANTE NE ACID TRANS;V68;OCUP VEIC TR PESADO TRAUM AC TRANSP S/COLIS;V60-V69;OCUPANTE DE UM VEÍCULO DE TRANSPORTE PESADO TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
H059;TRANST NE DA ORBITA;H05;TRANST DA ORBITA;H00-H06;TRANSTORNOS DA PÁLPEBRA, DO APARELHO LACRIMAL E DA ÓRBITA;7;DOENÇAS DO OLHO E ANEXOS
H288;OUTR TRANST DO CRISTALINO EM DOENC COP;H28;CATARATA E OUTR TRANST CRISTALINO DOENC COP;H25-H28;TRANSTORNOS DO CRISTALINO;7;DOENÇAS DO OLHO E ANEXOS
L946;AINHUM;L94;OUTR AFECCOES LOCALIZADAS DO TEC CONJUNTIVO;L80-L99;OUTRAS AFECÇÕES DA PELE E DO TECIDO SUBCUTÂNEO;12;DOENÇAS DA PELE E DO TECIDO SUBCUTÂNEO
P371;TOXOPLASMOSE CONGEN;P37;OUTR DOENC INFECC E PARASIT CONGEN;P35-P39;INFECÇÕES ESPECÍFICAS DO PERÍODO PERINATAL;16;ALGUMAS AFECÇÕES ORIGINADAS NO PERÍODO PERINATAL
Z22;PORTADOR DE DOENC INFECC;Z22;PORTADOR DE DOENC INFECC;Z20-Z29;PESSOAS COM RISCOS POTENCIAIS À SAÚDE RELACIONADOS COM DOENÇAS TRANSMISSÍVEIS;21;FATORES QUE INFLUEN. O ESTADO DE SAÚDE E O CONTATO COM OS SERVIÇOS DE SAÚDE
Y03;AGRESSAO P/MEIO DE IMPACTO VEIC A MOTOR;Y03;AGRESSAO P/MEIO DE IMPACTO VEIC A MOTOR;X85-Y09;AGRESSÕES;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
E50;DEFIC DE VITAMINA A;E50;DEFIC DE VITAMINA A;E50-E64;OUTRAS DEFICIÊNCIAS NUTRICIONAIS;4;DOENÇAS ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS
W854;RUA E ESTRADA;W85;EXPOSICAO LINHAS TRANSM DE CORRENTE ELETRICA;W85-W99;EXPOSIÇÃO À CORRENTE ELÉTRICA, À RADIAÇÃO E ÀS TEMPERATURAS E PRESSÕES EXTREMAS DO AMBIENTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
B965;PSEUDOMONAS COMO DOENC CLASS OUTR CAP;B96;OUTR AGENT BACTER CAUSA DOENC CLASS OUTR CAP;B95-B97;AGENTES DE INFECÇÕES BACTERIANAS, VIRAIS E OUTROS AGENTES INFECCIOSOS;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
B967;C.PERFRINGENS COMO DOENC CLASS OUTR CAP;B96;OUTR AGENT BACTER CAUSA DOENC CLASS OUTR CAP;B95-B97;AGENTES DE INFECÇÕES BACTERIANAS, VIRAIS E OUTROS AGENTES INFECCIOSOS;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
X11;CONTATO C/AGUA CORRENTE QUENTE DE TORNEIRA;X11;CONTATO C/AGUA CORRENTE QUENTE DE TORNEIRA;X10-X19;CONTATO COM UMA FONTE DE CALOR OU COM SUBSTÂNCIAS QUENTES;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
D356;CORPOS AORTICOS E OUTR PARAGANGLIOS;D35;NEOPL BENIG DE OUTR GLAND ENDOCRINAS E NE;D10-D36;NEOPLASIAS [TUMORES] BENIGNAS(OS);2;NEOPLASIAS [TUMORES]
E505;DEFIC DE VITAMINA A C/CEGUEIRA NOTURNA;E50;DEFIC DE VITAMINA A;E50-E64;OUTRAS DEFICIÊNCIAS NUTRICIONAIS;4;DOENÇAS ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS
Z000;EXAME MEDICO GERAL;Z00;EXAME GERAL INVEST PESS S/QUEIX DIAGN RELAT;Z00-Z13;PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO;21;FATORES QUE INFLUEN. O ESTADO DE SAÚDE E O CONTATO COM OS SERVIÇOS DE SAÚDE
X141;HABITACAO COLETIVA;X14;CONTATO C/AR E GASES QUENTES;X10-X19;CONTATO COM UMA FONTE DE CALOR OU COM SUBSTÂNCIAS QUENTES;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
M31;OUTR VASCULOPATIAS NECROTIZANTES;M31;OUTR VASCULOPATIAS NECROTIZANTES;M30-M36;DOENÇAS SISTÊMICAS DO TECIDO CONJUNTIVO;13;DOENÇAS DO SISTEMA OSTEOMUSCULAR E DO TECIDO CONJUNTIVO
P529;HEMORRAGIA INTRACRANIANA FETO RECEM-NASC NE;P52;HEMORRAGIA INTRACRAN NAO-TRAUM FETO REC-NASC;P50-P61;"TRANSTORNOS HEMORRÁGICOS E HEMATOLÓGICOS DO FETO E DO RECÉM-NASCIDO;TRANST HEMORRÁG E HEMATOLÓG FETO E RECÉM-NASCIDO";16;ALGUMAS AFECÇÕES ORIGINADAS NO PERÍODO PERINATAL
K098;OUTR CISTOS DA REGIAO ORAL NCOP;K09;CISTOS DA REGIAO BUCAL NCOP;K00-K14;DOENÇAS DA CAVIDADE ORAL, DAS GLÂNDULAS SALIVARES E DOS MAXILARES;11;DOENÇAS DO APARELHO DIGESTIVO
T49;INT SUBS USO TOP PEL MUC MED UT OFT OTOR ODO;T49;INT SUBS USO TOP PEL MUC MED UT OFT OTOR ODO;T36-T50;INTOXICAÇÃO POR DROGAS, MEDICAMENTOS E SUBSTÂNCIAS BIOLÓGICAS;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
P148;OUT LES OUT PART SIST NERV PERIF TRAUM PARTO;P14;LESOES AO NASCER DO SIST NERVOSO PERIFERICO;P10-P15;TRAUMATISMO DE PARTO;16;ALGUMAS AFECÇÕES ORIGINADAS NO PERÍODO PERINATAL
D350;GLAND SUPRA-RENAL;D35;NEOPL BENIG DE OUTR GLAND ENDOCRINAS E NE;D10-D36;NEOPLASIAS [TUMORES] BENIGNAS(OS);2;NEOPLASIAS [TUMORES]
W329;LOCAL NE;W32;PROJETIL DE REVOLVER;W20-W49;EXPOSIÇÃO A FORÇAS MECÂNICAS INANIMADAS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
V837;PESSOA VIAJANDO EXT VEIC ACID N-TRANS;V83;OCUP VEIC ESP MOT AREA IND TRAUM AC TRANSP;V80-V89;OUTROS ACIDENTES DE TRANSPORTE TERRESTRE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
B457;CRIPTOCOCOSE DISSEMINADA;B45;CRIPTOCOCOSE;B35-B49;MICOSES;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
W849;LOCAL NE;W84;RISCOS NE A RESPIRACAO;W75-W84;OUTROS RISCOS ACIDENTAIS À RESPIRAÇÃO;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
I370;ESTENOSE DA VALVA PULMONAR;I37;TRANST DA VALVA PULMONAR;I30-I52;OUTRAS FORMAS DE DOENÇA DO CORAÇÃO;9;DOENÇAS DO APARELHO CIRCULATÓRIO
K620;POLIPO ANAL;K62;OUTR DOENC DO RETO E DO ANUS;K55-K63;OUTRAS DOENÇAS DOS INTESTINOS;11;DOENÇAS DO APARELHO DIGESTIVO
Y222;ESCOLAS OUTR INSTIT AREAS ADMIN PUBLICA;Y22;DISPARO DE PISTOLA INTENCAO NAO DETERMINADA;Y10-Y34;EVENTOS (FATOS) CUJA INTENÇÃO É INDETERMINADA;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
W707;FAZENDA;W70;AFOGAMENTO SUBMERSAO CONSEQ QUEDA AGUAS NAT;W65-W74;AFOGAMENTO E SUBMERSÃO ACIDENTAIS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
A679;PINTA NE;A67;PINTA;A65-A69;OUTRAS DOENÇAS POR ESPIROQUETAS;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
Y152;ESCOLAS OUTR INSTIT AREAS ADMIN PUBLICA;Y15;ENVENEN ALCOOL INTENCAO NAO DETERMINADA;Y10-Y34;EVENTOS (FATOS) CUJA INTENÇÃO É INDETERMINADA;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
H060;TRANST DO APARELHO LACRIMAL EM DOENC COP;H06;TRANST APARELHO LACRIMAL ORBITA EM DOENC COP;H00-H06;TRANSTORNOS DA PÁLPEBRA, DO APARELHO LACRIMAL E DA ÓRBITA;7;DOENÇAS DO OLHO E ANEXOS
L409;PSORIASE NE;L40;PSORIASE;L40-L45;AFECÇÕES PÁPULO-DESCAMATIVAS;12;DOENÇAS DA PELE E DO TECIDO SUBCUTÂNEO
T199;CORPO ESTRANHO TRATO GENITURINARIO PARTE NE;T19;CORPO ESTRANHO NO TRATO GENITURINARIO;T15-T19;EFEITO DA PENETRAÇÃO DE CORPO ESTRANHO ATRAVÉS DE ORIFÍCIO NATURAL;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
B833;SINGAMOSE;B83;OUTR HELMINTIASES;B65-B83;HELMINTÍASES;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
M804;OSTEOPOROSE INDUZ P/DROGAS C/FRAT PATOLOGICA;M80;OSTEOPOROSE C/FRAT PATOLOGICA;M80-M85;TRANSTORNOS DA DENSIDADE E DA ESTRUTURA ÓSSEA;13;DOENÇAS DO SISTEMA OSTEOMUSCULAR E DO TECIDO CONJUNTIVO
J393;REACAO HIPERSENSIB VIAS AEREAS SUPER LOC NE;J39;OUTR DOENC DAS VIAS AEREAS SUPER;J30-J39;OUTRAS DOENÇAS DAS VIAS AÉREAS SUPERIORES;10;DOENÇAS DO APARELHO RESPIRATÓRIO
K359;APENDICITE AGUDA SOE;K35;APENDICITE AGUDA;K35-K38;DOENÇAS DO APÊNDICE;11;DOENÇAS DO APARELHO DIGESTIVO
E01;TRANST TIREOID E AFECC ASSOC REL DEFIC IODO;E01;TRANST TIREOID E AFECC ASSOC REL DEFIC IODO;E00-E07;TRANSTORNOS DA GLÂNDULA TIREÓIDE;4;DOENÇAS ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS
L511;ERITEMA MULTIFORME BOLHOSO;L51;ERITEMA POLIMORFO;L50-L54;URTICÁRIA E ERITEMA;12;DOENÇAS DA PELE E DO TECIDO SUBCUTÂNEO
D110;GLAND PAROTIDA;D11;NEOPL BENIG DE GLAND SALIVARES MAIORES;D10-D36;NEOPLASIAS [TUMORES] BENIGNAS(OS);2;NEOPLASIAS [TUMORES]
K144;ATROFIA DAS PAPILAS LINGUAIS;K14;DOENC DA LINGUA;K00-K14;DOENÇAS DA CAVIDADE ORAL, DAS GLÂNDULAS SALIVARES E DOS MAXILARES;11;DOENÇAS DO APARELHO DIGESTIVO
W187;FAZENDA;W18;OUTR QUEDAS NO MESMO NIVEL;W00-W19;QUEDAS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
X539;LOCAL NE;X53;FALTA DE ALIMENTO;X50-X57;EXCESSO DE ESFORÇOS, VIAGENS E PRIVAÇÕES;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
Y40;ANTIBIOTICOS SISTEMICOS;Y40;ANTIBIOTICOS SISTEMICOS;Y40-Y59;"EFEITOS ADVERSOS DE DROGAS, MEDICAMENTOS E SUBSTÂNCIAS BIOLÓGICAS USADAS COM FINALIDADE TERAPÊUTICA;EF ADVERS DROG, MEDIC E SUBST BIOLÓG FINALID TERAP";20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
G461;SINDR DA ARTERIA CEREBRAL ANTERIOR;G46;SINDR VASC CEREBR Q OCORR DOENC CEREBROVASC;G40-G47;TRANSTORNOS EPISÓDICOS E PAROXÍSTICOS;6;DOENÇAS DO SISTEMA NERVOSO
H809;OTOSCLEROSE NE;H80;OTOSCLEROSE;H80-H83;DOENÇAS DO OUVIDO INTERNO;8;DOENÇAS DO OUVIDO E DA APÓFISE MASTÓIDE
S243;TRAUM DE NERVOS PERIFERICOS DO TORAX;S24;TRAUM NERVOS E MEDULA ESPINHAL NIVEL TORAX;S20-S29;TRAUMATISMOS DO TÓRAX;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
V259;MOTOCICLISTA NE ACID TRANS;V25;MOTOCICLISTA TRAUM COLIS TREM VEIC FERROV;V20-V29;MOTOCICLISTA TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
W867;FAZENDA;W86;EXPOSICAO A OUTR CORRENTE ELETRICA ESPEC;W85-W99;EXPOSIÇÃO À CORRENTE ELÉTRICA, À RADIAÇÃO E ÀS TEMPERATURAS E PRESSÕES EXTREMAS DO AMBIENTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
Y802;PROTESES OUTR IMPL INCL MATERIAIS ACESSORIOS;Y80;DISP UTILIZ MED FISICA ASSOC INCID ADVERSOS;Y70-Y82;INCIDENTES ADVERSOS DURANTE ATOS DIAGNÓSTICOS OU TERAPÊUTICOS ASSOCIADOS AO USO DE DISPOSITIVOS (APARELHOS) MÉDICOS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
C343;LOBO INFER BRONQUIO OU PULMAO;C34;NEOPL MALIG DOS BRONQUIOS E DOS PULMOES;C30-C39;NEOPLASIAS [TUMORES] MALIGNAS(OS) DO APARELHO RESPIRATÓRIO E DOS ÓRGÃOS 2INTRATORÁCICOS;2;NEOPLASIAS [TUMORES]
R629;RETARDO DO DESENVOLV FISIOLOGICO NORMAL NE;R62;RETARDO DO DESENVOLV FISIOLOGICO NORMAL;R50-R69;SINTOMAS E SINAIS GERAIS;18;SINTOMAS, SINAIS E ACHADOS ANORMAIS DE EXAMES CLÍNICOS E DE LABORATÓRIO, NÃO CLASSIFICADOS
Q280;MALFORM ARTERIOVENOSA DE VASOS PRE-CEREBRAIS;Q28;OUTR MALFORM CONGEN APARELHO CIRCULATORIO;Q20-Q28;MALFORMAÇÕES CONGÊNITAS DO APARELHO CIRCULATÓRIO;17;MALFORMAÇÕES CONGÊNITAS, DEFORMIDADES E ANOMALIAS CROMOSSÔMICAS
S024;FRAT DOS OSSOS MALARES E MAXILARES;S02;FRAT DO CRANIO E DOS OSSOS DA FACE;S00-S09;TRAUMATISMOS DA CABEÇA;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
F680;SINT FISICOS AUMENT P/FATORES PSICOLOGICOS;F68;OUTR TRANST PERSONALIDADE E COMPORT ADULTO;F60-F69;TRANSTORNOS DA PERSONALIDADE E DO COMPORTAMENTO DO ADULTO;5;TRANSTORNOS MENTAIS E COMPORTAMENTAIS
N50;OUTR TRANST DOS ORGAOS GENITAIS MASC;N50;OUTR TRANST DOS ORGAOS GENITAIS MASC;N40-N51;DOENÇAS DOS ÓRGÃOS GENITAIS MASCULINOS;14;DOENÇAS DO APARELHO GENITURINÁRIO
S026;FRAT DE MANDIBULA;S02;FRAT DO CRANIO E DOS OSSOS DA FACE;S00-S09;TRAUMATISMOS DA CABEÇA;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
M89;OUTR TRANST OSSEOS;M89;OUTR TRANST OSSEOS;M86-M90;OUTRAS OSTEOPATIAS;13;DOENÇAS DO SISTEMA OSTEOMUSCULAR E DO TECIDO CONJUNTIVO
S71;FERIM DO QUADRIL E DA COXA;S71;FERIM DO QUADRIL E DA COXA;S70-S79;TRAUMATISMOS DO QUADRIL E DA COXA;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
Q70;SINDACTILIA;Q70;SINDACTILIA;Q65-Q79;MALFORMAÇÕES E DEFORMIDADES CONGÊNITAS DO SISTEMA OSTEOMUSCULAR;17;MALFORMAÇÕES CONGÊNITAS, DEFORMIDADES E ANOMALIAS CROMOSSÔMICAS
X570;RESIDENCIA;X57;PRIVACAO NE;X50-X57;EXCESSO DE ESFORÇOS, VIAGENS E PRIVAÇÕES;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
Y21;AFOGAMENTO SUBMERSAO INTENC NAO DETERMINADA;Y21;AFOGAMENTO SUBMERSAO INTENC NAO DETERMINADA;Y10-Y34;EVENTOS (FATOS) CUJA INTENÇÃO É INDETERMINADA;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
M911;OSTEOCONDROSE JUVENIL DA CABECA DO FEMUR;M91;OSTEOCONDROSE JUVENIL DO QUADRIL E DA PELVE;M91-M94;CONDROPATIAS;13;DOENÇAS DO SISTEMA OSTEOMUSCULAR E DO TECIDO CONJUNTIVO
Z368;OUTR RASTR PRE-NATAIS;Z36;RASTR PRE-NATAL;Z30-Z39;PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO;21;FATORES QUE INFLUEN. O ESTADO DE SAÚDE E O CONTATO COM OS SERVIÇOS DE SAÚDE
R63;SINT SINAIS RELAT INGESTAO ALIMENTOS LIQUID;R63;SINT SINAIS RELAT INGESTAO ALIMENTOS LIQUID;R50-R69;SINTOMAS E SINAIS GERAIS;18;SINTOMAS, SINAIS E ACHADOS ANORMAIS DE EXAMES CLÍNICOS E DE LABORATÓRIO, NÃO CLASSIFICADOS
A564;INFECC DA FARINGE P/CLAMIDIAS;A56;OUTR INFECC P/CLAMIDIAS TRANSM P/VIA SEXUAL;A50-A64;INFECÇÕES DE TRANSMISSÃO PREDOMINANTEMENTE SEXUAL;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
E070;HIPERSECRECAO DE CALCITONINA;E07;OUTR TRANST DA TIREOIDE;E00-E07;TRANSTORNOS DA GLÂNDULA TIREÓIDE;4;DOENÇAS ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS
B972;CORONAVIRUS COMO DOENC CLASS OUTR CAP;B97;VIRUS COMO DOENC CLASS OUTR CAP;B95-B97;AGENTES DE INFECÇÕES BACTERIANAS, VIRAIS E OUTROS AGENTES INFECCIOSOS;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
V82;OCUP DE UM BONDE TRAUM ACID TRANSP;V82;OCUP DE UM BONDE TRAUM ACID TRANSP;V80-V89;OUTROS ACIDENTES DE TRANSPORTE TERRESTRE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
A831;ENCEFALITE EQUINA OCIDENTAL;A83;ENCEFALITE P/VIRUS TRANSM P/MOSQUITOS;A80-A89;INFECÇÕES VIRAIS DO SISTEMA NERVOSO CENTRAL;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
W642;ESCOLAS OUTR INSTIT AREAS ADMIN PUBLICA;W64;EXPOSICAO OUTR FORCAS MECAN ANIMADAS E AS NE;W50-W64;EXPOSIÇÃO A FORÇAS MECÂNICAS ANIMADAS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
Z506;TREINAMENTO ORTOPTICO;Z50;CUIDADOS ENVOLV USO PROCED DE REABILITACAO;Z40-Z54;PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA PROCEDIMENTOS E CUIDADOS ESPECÍFICOS;21;FATORES QUE INFLUEN. O ESTADO DE SAÚDE E O CONTATO COM OS SERVIÇOS DE SAÚDE
F92;TRANST MISTOS DE CONDUTA E DAS EMOCOES;F92;TRANST MISTOS DE CONDUTA E DAS EMOCOES;F90-F98;TRANSTORNOS DO COMPORTAMENTO E TRANSTORNOS EMOCIONAIS QUE APARECEM HABITUALMENTE DURANTE A INFÂNCIA OU A ADOLESCÊNCIA;5;TRANSTORNOS MENTAIS E COMPORTAMENTAIS
S043;TRAUM DO NERVO TRIGEMEO;S04;TRAUM DOS NERVOS CRANIANOS;S00-S09;TRAUMATISMOS DA CABEÇA;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
E630;DEFIC DE ACIDO GRAXO ESSENCIAL;E63;OUTR DEFIC NUTRICIONAIS;E50-E64;OUTRAS DEFICIÊNCIAS NUTRICIONAIS;4;DOENÇAS ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS
I988;OUTR TRANST ESPEC AP CIRCULAT DOENC COP;I98;OUTR TRANST APARELHO CIRCULATORIO DOENC COP;I95-I99;OUTROS TRANSTORNOS, E OS NÃO ESPECIFICADOS DO APARELHO CIRCULATÓRIO;9;DOENÇAS DO APARELHO CIRCULATÓRIO
X923;AREA P/A PRATICA DE ESPORTES E ATLETISMO;X92;AGRESSAO P/MEIO DE AFOGAMENTO E SUBMERSAO;X85-Y09;AGRESSÕES;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
A029;INFECC NE P/SALMONELA;A02;OUTR INFECC P/SALMONELLA;A00-A09;DOENÇAS INFECCIOSAS INTESTINAIS;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
